Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xc94926256b4efb8f5f385c5e4fbf2e5418ef4201dd7981f410bde6edded8d870","Success","Transfer","33030757","2025-07-18 15:01:01","0xe0B831F9e0Bb48b8699215e106eABAaf66690379","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x83f7e015a31ea596363e7d95605215263ddd8b853c39fc4815566e79d541a2da","Success","Transfer","33030757","2025-07-18 15:01:01","0xE0Ad51914e696e7022B851Ab6da167f4E63c1ff3","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000033"
"0xaacdbbbd64dcea9a6c3f7a88a89eb42386d848ea9bbb5afa2677d062a1dfdf0b","Success","Transfer","33030757","2025-07-18 15:01:01","0xc19E01EFc2b9b9872ef3e66004A353403eB91c1A","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0xca6ab41bd93e70314465ac364c84db12677a55b946a1acfa8dccef1f43c6813c","Success","Transfer","33030757","2025-07-18 15:01:01","0x4e921e987150E4D820df9A2e60aA7b5d23975fff","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000046"
"0xdd06cd9b58e5fcc733d4396ea0ed01461dba17a4aefbf646b2e98028316267da","Success","Transfer","33030757","2025-07-18 15:01:01","0x252DAdAAe515952bedac4939C9Be5803B55B5952","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000098"
"0x637767c8bc071caeb39e7e2202043732d4a28c45aede06c886188ece1b343ca8","Success","Transfer","33030756","2025-07-18 15:00:59","0x8Fec864F9FD996D758c095ad4f1f80d40704411F","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0xdd2acb1e5dc968464c14d28dbf2d28a0e12a5efe9adbde6b622d85c7761b35c4","Success","Transfer","33030756","2025-07-18 15:00:59","0x6f6E92f52Ce771Ab0C593D992CCb3d8453C3c8c4","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000033"
"0xcb13139d715b872658194d53603885f23c5e7e693596800f71df2edadf534a8f","Success","Transfer","33030756","2025-07-18 15:00:59","0x7c84DcFf187CA4555bE050f2681df0243a7297b7","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x2b5ea14ec52a9031a1220c45766b040454a8a044779a33b8b2a9cad6d627254d","Success","Transfer","33030755","2025-07-18 15:00:57","0x55B35492f9805E678047434636E67d6614a91059","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x9ee3cf034e65168e0be13138dd6e64cf9085edf13ffc9fac5a1c195b8b54f3e8","Success","Transfer","33030755","2025-07-18 15:00:57","0x5c77bEEE194128DdE7678a417d5198Cb806F1D59","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x47e5450facea5c99215717e5729459f2e342f651284b30fb561d29808b000fe3","Success","Transfer","33030755","2025-07-18 15:00:57","0x5295Ffe2c2061aE9c334BfF880592d4511cf088c","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0xef185a9df4e2c9414bdd7144e885730d37cc4ed0c14031f9bbc6a63d87afe08a","Success","Transfer","33030755","2025-07-18 15:00:57","0x47Ce4Fee98321BAC185f140640BD040C5E21dF59","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0xad577a1e4be27aabf6384a8e6f6a0cd2cc88404895738aa1594dbd9052a56532","Success","Transfer","33030755","2025-07-18 15:00:57","0x392a87DF1c902713843a122B9F87922302Fcbb59","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x2568972599399594dfae2fd5d54632f505a4deeed58b155ae69cac456c57028c","Success","Transfer","33030755","2025-07-18 15:00:57","0x81Fdef5117cce26A87De73f765e64A04f9fD8261","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000072"
"0xa5714b17036ba29a19693f296e4572eebaff738453e713110c0cba004458f2da","Success","Transfer","33030755","2025-07-18 15:00:57","0x4024Db06b3255FB20fc2d33Eb432d5640dedF90a","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0xf02adab5dea9f0b4d774df9a3d6ad4d3d7744cf908250461623d380a9fd01ec2","Success","Transfer","33030755","2025-07-18 15:00:57","0x45E6205415e6BDFe0fe9126f24d8b96B0fF0862a","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x26c6948cb36e4b5e0c24a8383b9b04c6583139a2c252a3ade4e12e943067eb76","Success","Transfer","33030755","2025-07-18 15:00:57","0x3F3FEB8065673aE0594CadE3B6e93969aB7B7f59","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x2f1388e363217d4b7111be357a444ccaafd4e4e114b41faabd427b95515c2109","Success","Transfer","33030755","2025-07-18 15:00:57","0x203B6AcBf0850a0f2ADa6c52169221EE9DEbC7A5","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00001838"
"0xfef38eca29b31a12a08ff062896faa933cb23f4b8a6fd009e09d163c1cb9c1ce","Success","Transfer","33030754","2025-07-18 15:00:55","0x1A0a3dB26Bcd3D1c1378628d2febb687BFbCf859","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
"0x70fbd7cbb862759f055b721d1c057b5d5c6e2e2fc7ce55bd452cfbf79fe660c8","Success","Transfer","33030754","2025-07-18 15:00:55","0x1A852D2bB7786906ba2295e05b2Ce85693e0c683","","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","Circle: USDC Token","0 ETH","$0.00","0.00000032"
